,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
0,2019-089H,1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Hera Systems,USA,Hera Systems,Commercial,Earth Observation,Infrared Imaging,LEO,Non-Polar Inclined,96.08,0.5,22.0,nan,nan,Satish Dhawan Space Centre,PSLV,2019,12
1,2023-001DC,AAC AIS-Sat1 (Kelpie 1),UK,AAC Clyde Space,Multinational,AAC Clyde Space,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,95.0,4.0,4.0,4,nan,Cape Canaveral,Falcon 9,2023,1
2,2017-036L,Aalto-1,Finland,Aalto University,Finland,Aalto University,Civil,Technology Development,nan,LEO,Sun-Synchronous,94.7,2.0,4.5,nan,4.5,Satish Dhawan Space Centre,PSLV,2017,6
3,2016-025E,AAt-4,Denmark,University of Aalborg,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,95.9,4.0,1.0,nan,nan,Guiana Space Center,Soyuz-2.1a,2016,4
4,2014-006A,"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,USA,Space Systems/Loral,Commercial,Communications,nan,GEO,nan,1436.03,15.0,6330.0,nan,16000,Guiana Space Center,Ariane 5 ECA,2014,2
5,2016-038A,ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,USA,Boeing Satellite Systems,Commercial,Communications,nan,GEO,nan,1436.1,15.0,1800.0,nan,nan,Cape Canaveral,Falcon 9,2016,6
6,2015-010A,ABS-3A,Multinational,Asia Broadcast Satellite Ltd.,USA,Boeing Satellite Systems,Commercial,Communications,nan,GEO,nan,1436.0,15.0,2000.0,nan,nan,Cape Canaveral,Falcon 9,2015,3
7,2004-007A,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,USA,Space Systems/Loral,Commercial,Communications,nan,GEO,nan,1436.1,12.0,4143.0,1700,7400,Cape Canaveral,Atlas 3,2004,3
8,1999-053A,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,USA,Lockheed Martin,Commercial,Communications,nan,GEO,nan,1436.08,15.0,2894.0,1730,"6,800 (EOL)",Baikonur Cosmodrome,Proton,1999,9
9,2021-022F,Adelis-Sampson 1,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,nan,LEO,Sun-Synchronous,95.5,4.0,9.0,nan,nan,Baikonur Cosmodrome,Soyuz-2.1a,2021,3
10,2021-022H,Adelis-Sampson 2,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,nan,LEO,Sun-Synchronous,95.5,4.0,9.0,nan,nan,Baikonur Cosmodrome,Soyuz-2.1a,2021,3
11,2021-022M,Adelis-Sampson 3,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,nan,LEO,Sun-Synchronous,95.5,4.0,9.0,nan,nan,Baikonur Cosmodrome,Soyuz-2.1a,2021,3
12,2023-054K,ADLER-2,Austria,Austrian Space Forum (OEWF)/Spire,USA,Spire Global,Civil,Earth Science,nan,LEO,Sun-Synchronous,95.0,4.0,11.5,11.5,nan,Vandenberg AFB,Falcon 9,2023,4
13,2020-095A,"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA,National Reconnaissance Office (NRO),USA,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,nan,1437.6,13.0,5400.0,nan,nan,Cape Canaveral,Delta 4 Heavy,2020,12
14,1998-029A,"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),USA,TRW Space and Electronics,Military,Earth Observation,Electronic Intelligence,GEO,nan,1436.14,13.0,5200.0,nan,nan,Cape Canaveral,Titan IVA,1998,5
15,2003-041A,"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),USA,TRW Space and Electronics,Military,Earth Observation,Electronic Intelligence,GEO,nan,1436.1,13.0,5200.0,nan,nan,Cape Canaveral,Titan IV,2003,9
16,2009-001A,"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),USA,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,nan,1438.8,13.0,5400.0,nan,nan,Cape Canaveral,Delta 4 Heavy,2009,1
17,2010-063A,"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),USA,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,nan,1436.0,13.0,5000.0,nan,nan,Cape Canaveral,Delta 4 Heavy,2010,11
18,2012-034A,"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),USA,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,nan,1436.1,13.0,5000.0,nan,nan,Cape Canaveral,Delta 4 Heavy,2012,6
19,2016-036A,"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),USA,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,nan,1437.19,13.0,5000.0,nan,nan,Cape Canaveral,Delta 4 Heavy,2016,6
20,2013-050A,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.1,14.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2013,9
21,2018-079A,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.1,13.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2018,10
22,2019-051A,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.2,13.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2019,8
23,2020-022B,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,US Air Force,USA,Lockheed Martin Space Systems,Military,Communications,nan,GEO,nan,1436.0,13.0,6169.0,nan,nan,Cape Canaveral,Atlas 5,2020,3
