,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
13,2020-095A,"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",United States of America,National Reconnaissance Office (NRO),United States of America,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,,1437.6,13.0,5400.0,,,Cape Canaveral,Delta 4 Heavy,2020,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
14,1998-029A,"Advanced Orion 4 (Mentor, NROL 6, USA 139)",United States of America,National Reconnaissance Office (NRO),United States of America,TRW Space and Electronics,Military,Earth Observation,Electronic Intelligence,GEO,,1436.14,13.0,5200.0,,,Cape Canaveral,Titan IVA,1998,5,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
15,2003-041A,"Advanced Orion 5 (Mentor, NROL 19, USA 171)",United States of America,National Reconnaissance Office (NRO),United States of America,TRW Space and Electronics,Military,Earth Observation,Electronic Intelligence,GEO,,1436.1,13.0,5200.0,,,Cape Canaveral,Titan IV,2003,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
16,2009-001A,"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",United States of America,National Reconnaissance Office (NRO),United States of America,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,,1438.8,13.0,5400.0,,,Cape Canaveral,Delta 4 Heavy,2009,1,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
17,2010-063A,"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",United States of America,National Reconnaissance Office (NRO),United States of America,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,,1436.0,13.0,5000.0,,,Cape Canaveral,Delta 4 Heavy,2010,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
18,2012-034A,"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",United States of America,National Reconnaissance Office (NRO),United States of America,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,,1436.1,13.0,5000.0,,,Cape Canaveral,Delta 4 Heavy,2012,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
19,2016-036A,"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",United States of America,National Reconnaissance Office (NRO),United States of America,National Reconnaissance Laboratory (?),Military,Earth Observation,Electronic Intelligence,GEO,,1437.19,13.0,5000.0,,,Cape Canaveral,Delta 4 Heavy,2016,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
20,2013-050A,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",United States of America,US Air Force,United States of America,Lockheed Martin Space Systems,Military,Communications,,GEO,,1436.1,14.0,6169.0,,,Cape Canaveral,Atlas 5,2013,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
21,2018-079A,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",United States of America,US Air Force,United States of America,Lockheed Martin Space Systems,Military,Communications,,GEO,,1436.1,13.0,6169.0,,,Cape Canaveral,Atlas 5,2018,10,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
22,2019-051A,"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",United States of America,US Air Force,United States of America,Lockheed Martin Space Systems,Military,Communications,,GEO,,1436.2,13.0,6169.0,,,Cape Canaveral,Atlas 5,2019,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
