,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
171,2012-018A,Beidou 2-12 (Compass M3),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.19,8.0,2200.0,,,Xichang Satellite Launch Center,Long March 3B,2012,4,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
172,2012-018B,Beidou 2-13 (Compass M4),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.21,8.0,2200.0,,,Xichang Satellite Launch Center,Long March 3B,2012,4,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
179,2015-037A,Beidou 3M-1S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2015,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
180,2015-037B,Beidou 3M-2S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,Non-Polar Inclined,773.3,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2015,7,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
181,2017-069A,Beidou 3M1,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2017,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
182,2019-061A,Beidou 3M1 (Beidou 23),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
183,2019-061B,Beidou 3M1 (Beidou 24),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,9,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
184,2017-069B,Beidou 3M1 (Beidou 25),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2017,11,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
185,2018-003A,Beidou DW 26,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,1,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
186,2018-003B,Beidou DW 27,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,1,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
187,2018-018A,Beidou DW 28,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,2,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
188,2018-018B,Beidou DW 29,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,MEO,,773.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,2,Light Weight Satellites,Long Expected Lifetime,Fast Rotation Period
